Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,polygon.started,polygon.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
20:24,None,1,boat.jpg,Vehicles,ArrowLeft.png,None,None,0,1,1,5,,,,,0,3,3,1,,,,,,,48.60663690022193,None,,,,,,,,,2,0.2778179000597447,48.3085532002151,None,48.3085532002151,None,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
20:24,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,3,elephant.jpg,Animal,ArrowRight.png,None,None,0,2,2,1,0,0,0,3,,,,,,,,,,,51.20833890000358,None,3,0.4244236999657005,50.76718890015036,None,50.76718890015036,None,50.76718890015036,None,,,,,,,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,1,dromedary.jpg,Animal,ArrowLeft.png,None,None,0,2,2,1,0,1,1,2,,,,,,,,,,,52.7256482001394,None,1,0.41780530009418726,52.28991310019046,None,52.28991310019046,None,52.28991310019046,None,,,,,,,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,2,crocodile.jpg,Animal,ArrowUp.png,None,None,0,2,2,1,0,2,2,1,,,,,,,,,,,54.227986000012606,None,2,0.39550100010819733,53.79699960001744,None,53.79699960001744,None,53.79699960001744,None,,,,,,,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,3,cow.jpg,Animal,ArrowRight.png,None,None,0,2,2,1,0,3,3,0,,,,,,,,,,,55.77677860017866,None,3,0.434188200160861,55.31726280017756,None,55.31726280017756,None,55.31726280017756,None,,,,,,,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,1,dromedary.jpg,Animal,ArrowLeft.png,None,None,0,2,2,1,,,,,0,0,0,2,,,,,,,59.545244000153616,None,,,,,,,,,2,2.6882348998915404,56.84157090005465,None,56.84157090005465,None,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,3,elephant.jpg,Animal,ArrowRight.png,None,None,0,2,2,1,,,,,0,1,1,3,,,,,,,61.2106108001899,None,,,,,,,,,1,0.6320485000032932,60.54754460020922,None,60.54754460020922,None,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,3,cow.jpg,Animal,ArrowRight.png,None,None,0,2,2,1,,,,,0,2,2,0,,,,,,,63.13064040010795,None,,,,,,,,,3,0.847728000022471,62.21651110006496,None,62.21651110006496,None,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
4:8,None,2,crocodile.jpg,Animal,ArrowUp.png,None,None,0,2,2,1,,,,,0,3,3,1,,,,,,,64.78111180011183,None,,,,,,,,,2,0.6104373000562191,64.13251360016875,None,64.13251360016875,None,,001,2021_Nov_10_1447,Gallery_fMRI,2021.2.3,None,
