NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,14.597387399990112,None,1,0.6369962999597192,14.597387399990112,None,,,,,,,,,,,,001,2021_Nov_10_1223,Gallery_fMRI,2021.2.3,None,
None,1,hippopotamus.jpg,Animal,ArrowLeft.png,None,None,0,0,0,9,,,,,,,1,0.9626101998146623,15.37875710008666,None,15.37875710008666,None,15.37875710008666,None,16.423121500061825,None,,001,2021_Nov_10_1223,Gallery_fMRI,2021.2.3,None,
None,3,turtle.jpg,Animal,ArrowRight.png,None,None,0,1,1,19,,,,,,,None,,17.431788499932736,None,17.431788499932736,None,17.431788499932736,None,20.449067800072953,None,,001,2021_Nov_10_1223,Gallery_fMRI,2021.2.3,None,
None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,0,2,2,29,,,,,,,2,0.8213820001110435,21.531817100010812,None,21.531817100010812,None,21.531817100010812,None,22.43306070007384,None,,001,2021_Nov_10_1223,Gallery_fMRI,2021.2.3,None,
None,2,bed.jpg,Furniture,ArrowUp.png,None,None,0,3,3,35,,,,,,,2,0.647486099973321,23.4503842999693,None,23.4503842999693,None,23.4503842999693,None,24.117671200074255,None,,001,2021_Nov_10_1223,Gallery_fMRI,2021.2.3,None,
None,2,zebra.jpg,Animal,ArrowUp.png,None,None,0,4,4,20,,,,,,,2,0.5692405998706818,25.188506599981338,None,25.188506599981338,None,25.188506599981338,None,25.78460990008898,None,,001,2021_Nov_10_1223,Gallery_fMRI,2021.2.3,None,
