corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,old,ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Condition_rows,Condition_rows_practice,Scrambled_img.started,Scrambled_img.stopped,Arrow1.started,Arrow1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,Images/crocodile.jpg,Animal,ArrowUp.png,right,ArrowLeft.png,Images/crocodile_scrambled.jpg,None,0,0,0,3,,,,,,,26.928515400000833,None,26.928515400000833,26.928515400000833,,001,2022_Mar_29_1649,Gallery_fMRI_OneShotLearning,2021.2.3,143.86936661443636,
1,Images/cheetah.jpg,Animal,ArrowLeft.png,None,ArrowLeft.png,Images/cheetah_scrambled.jpg,None,0,1,1,1,,,,,,,30.897992500000328,None,30.897992500000328,30.897992500000328,,001,2022_Mar_29_1649,Gallery_fMRI_OneShotLearning,2021.2.3,143.86936661443636,
3,Images/cow.jpg,Animal,ArrowRight.png,None,ArrowLeft.png,Images/cow_scrambled.jpg,None,0,2,2,2,,,,,,,34.899741500001255,None,34.899741500001255,34.899741500001255,,001,2022_Mar_29_1649,Gallery_fMRI_OneShotLearning,2021.2.3,143.86936661443636,
2,Images/cat.jpg,Animal,ArrowUp.png,None,ArrowLeft.png,Images/cat_scrambled.jpg,None,0,3,3,0,,,,,,,38.897750400001314,None,38.897750400001314,38.897750400001314,,001,2022_Mar_29_1649,Gallery_fMRI_OneShotLearning,2021.2.3,143.86936661443636,
