Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16:20,None,2,tapir.jpg,Animal,ArrowUp.png,None,None,0,2,2,4,0,1,1,1,,,,,,,,,,,2,1.7470758000272326,85.56138780000038,None,85.56138780000038,None,85.56138780000038,None,88.56132800001069,None,,,,,,,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
16:20,None,3,turtle.jpg,Animal,ArrowRight.png,None,None,0,2,2,4,0,2,2,3,,,,,,,,,,,3,1.3251448000082746,89.59610670001712,None,89.59610670001712,None,89.59610670001712,None,92.54743390000658,None,,,,,,,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
16:20,None,3,snake.jpg,Animal,ArrowRight.png,None,None,0,2,2,4,0,3,3,0,,,,,,,,,,,3,1.1405642000027,93.54916670001694,None,93.54916670001694,None,93.54916670001694,None,96.53557680000085,None,,,,,,,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
16:20,None,1,tiger.jpg,Animal,ArrowLeft.png,None,None,0,2,2,4,,,,,0,0,0,2,,,,,,,,,,,,,,,100.55170410001301,None,None,,97.60117020001053,None,97.60117020001053,None,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
16:20,None,3,snake.jpg,Animal,ArrowRight.png,None,None,0,2,2,4,,,,,0,1,1,0,,,,,,,,,,,,,,,104.5534301000007,None,None,,101.55434190001688,None,101.55434190001688,None,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
16:20,None,2,tapir.jpg,Animal,ArrowUp.png,None,None,0,2,2,4,,,,,0,2,2,1,,,,,,,,,,,,,,,108.53927070001373,None,2,0.9576027000148315,105.58892730000662,None,105.58892730000662,None,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
16:20,None,3,turtle.jpg,Animal,ArrowRight.png,None,None,0,2,2,4,,,,,0,3,3,3,,,,,,,,,,,,,,,112.5565942999965,None,None,,109.55729220001376,None,109.55729220001376,None,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
16:20,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
24:28,None,1,cart.jpg,Vehicles,ArrowLeft.png,None,None,0,3,3,6,0,0,0,0,,,,,,,,,,,1,0.9857791000104044,113.62325810000766,None,113.62325810000766,None,113.62325810000766,None,116.54519930001698,None,,,,,,,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
24:28,None,3,motorbike.jpg,Vehicles,ArrowRight.png,None,None,0,3,3,6,0,1,1,1,,,,,,,,,,,3,2.654515400005039,117.57824729999993,None,117.57824729999993,None,117.57824729999993,None,120.56185970001388,None,,,,,,,,001,2021_Nov_12_1026,Gallery_fMRI,2021.2.3,None,
