Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,12.667910099989967,None,1,2.6802091999852564,12.667910099989967,None,,,,,,,,,,,,001,2021_Nov_23_1316,Gallery_fMRI,2021.2.3,143.62636462074144,
28:32,None,1,skateboard.jpg,Vehicles,ArrowLeft.png,None,None,0,0,0,7,0,0,0,2,,,,,,,1,0.9769524000003003,15.416448100004345,None,15.416448100004345,None,15.416448100004345,None,18.375531800003955,None,,001,2021_Nov_23_1316,Gallery_fMRI,2021.2.3,143.62636462074144,
28:32,None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,0,0,0,7,0,1,1,1,,,,,,,2,0.6024248999892734,19.374723199987784,None,19.374723199987784,None,19.374723199987784,None,22.373700199997984,None,,001,2021_Nov_23_1316,Gallery_fMRI,2021.2.3,143.62636462074144,
