Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Congruency,Direction,Randomization_loop.thisRepN,Randomization_loop.thisTrialN,Randomization_loop.thisN,Randomization_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,thisA,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,direction_options.started,direction_options.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,8.212342900005751,None,2,1.5774853000039002,8.212342900005751,None,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,1,armadillo.jpg,Animal,ArrowLeft.png,left,Congruent,ArrowLeft.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,bookcase.jpg,1,0.9348518999977387,9.953272300001117,None,9.953272300001117,None,9.953272300001117,None,12.922705700002552,None,,,,,,,,,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,2,cat.jpg,Animal,ArrowUp.png,None,None,ArrowUp.png,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,train,2,0.5539187000031234,13.955150100002356,None,13.955150100002356,None,13.955150100002356,None,16.924065700004576,None,,,,,,,,,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,3,bat.jpg,Animal,ArrowRight.png,left,Incongruent - opposite,ArrowRight.png,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,Chest_of_drawers.jpg,3,0.37174810000578873,17.95691550000629,None,17.95691550000629,None,17.95691550000629,None,20.925854100001743,None,,,,,,,,,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,motorbike.jpg,1,0.49709299999813084,21.942139000006136,None,21.942139000006136,None,21.942139000006136,None,24.92771460000222,None,,,,,,,,,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,1,armadillo.jpg,Animal,ArrowLeft.png,left,Congruent,ArrowLeft.png,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,bookcase.jpg,,,,,,,,,28.931002900004387,None,2,1.9646536000000197,25.96215640000446,None,25.96215640000446,None,25.96215640000446,None,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,None,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,train,,,,,,,,,32.93264890000137,None,3,0.9710295999975642,29.94698060000519,None,29.94698060000519,None,29.94698060000519,None,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,2,cat.jpg,Animal,ArrowUp.png,None,None,ArrowUp.png,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,Chest_of_drawers.jpg,,,,,,,,,36.916587400002754,None,3,0.3804515000010724,33.9489762000012,None,33.9489762000012,None,33.9489762000012,None,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,None,3,bat.jpg,Animal,ArrowRight.png,left,Incongruent - opposite,ArrowRight.png,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,motorbike.jpg,,,,,,,,,40.918476500002726,None,3,0.3387866999983089,37.93398930000694,None,37.93398930000694,None,37.93398930000694,None,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
0:4,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_02_0205,Gallery_fMRI,2021.2.3,59.95042100031536,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tractor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
