ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Condition_rows,Condition_rows_practice,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,StimFile,ImgType,ArrowImg,Direction,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_2.started,polygon_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,s,1.6685030999360606,13.115154200000688,None,,,,,,001,2022_Mar_25_1107,Gallery_fMRI_OneShotLearning,2021.2.3,141.5255893262677,
,,,,,,,,,,,,,,,,,,,,,,13.115154200000688,None,14.810977099929005,None,,,,,,,
