corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,old,Condition_rows,Condition_rows_practice,ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,ScrambledTrials_2.thisRepN,ScrambledTrials_2.thisTrialN,ScrambledTrials_2.thisN,ScrambledTrials_2.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_2.started,polygon_2.stopped,Scrambled_img.started,Scrambled_img.stopped,Arrow1.started,Arrow1.stopped,text_3.started,text_3.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,Congruency,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,direction_options.started,direction_options.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Images/cart.jpg,Vehicles,ArrowLeft.png,None,ArrowRight.png,Images/cart_scrambled.jpg,None,,,0,13,13,22,,,,,,,,,,,,,,,,,,,,,,,234.7089421067078,None,234.7089421067078,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
2,Images/cat.jpg,Animal,ArrowUp.png,None,ArrowLeft.png,Images/cat_scrambled.jpg,None,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,238.69205392394906,None,238.69205392394906,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
1,Images/tiger.jpg,Animal,ArrowLeft.png,None,neutral,Images/tiger_scrambled.jpg,None,,,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,242.67670614896304,None,242.67670614896304,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
2,Images/zebra.jpg,Animal,ArrowUp.png,None,neutral,Images/zebra_scrambled.jpg,None,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,246.6763134960014,None,246.6763134960014,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
1,Images/rhino.jpg,Animal,ArrowLeft.png,None,neutral,Images/rhino_scrambled.jpg,None,,,0,17,17,13,,,,,,,,,,,,,,,,,,,,,,,250.67629531490832,None,250.67629531490832,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
1,Images/lioness.jpg,Animal,ArrowLeft.png,None,neutral,Images/lioness_scrambled.jpg,None,,,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,254.6765797610418,None,254.6765797610418,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
2,Images/kangaroo.jpg,Animal,ArrowUp.png,None,neutral,Images/kangaroo_scrambled.jpg,None,,,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,258.69181346433106,None,258.69181346433106,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
2,Images/platypus.jpg,Animal,ArrowUp.png,None,neutral,Images/platypus_scrambled.jpg,None,,,0,20,20,12,,,,,,,,,,,,,,,,,,,,,,,262.67631261627105,None,262.67631261627105,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
1,Images/hippopotamus.jpg,Animal,ArrowLeft.png,None,ArrowLeft.png,Images/hippopotamus_scrambled.jpg,None,,,0,21,21,7,,,,,,,,,,,,,,,,,,,,,,,266.67475930578723,None,266.67475930578723,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
2,Images/car.jpg,Vehicles,ArrowUp.png,None,neutral,Images/car_scrambled.jpg,None,,,0,22,22,21,,,,,,,,,,,,,,,,,,,,,,,270.7049132351319,None,270.7049132351319,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/hippopotamus.jpg,Animal,ArrowLeft.png,,ArrowLeft.png,,,8:12,8:12,,,,,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,274.6395909136762,None,1,1.3249838129623868,284.78987406953854,None,284.78987406953854,None,284.78987406953854,None,Congruent,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/kangaroo.jpg,Animal,ArrowRight.png,,neutral,,,8:12,8:12,,,,,0,0,0,2,0,1,1,3,,,,,,,,,,,,,,,,,,,,,3,1.4718961355207512,290.67484962476567,None,290.67484962476567,None,290.67484962476567,None,Neutral,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/horse.jpg,Animal,ArrowRight.png,,ArrowLeft.png,,,8:12,8:12,,,,,0,0,0,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,3,1.2918968627644745,296.67469684493517,None,296.67469684493517,None,296.67469684493517,None,Incongruent_opposite,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/giraffe.jpg,Animal,ArrowUp.png,,ArrowLeft.png,,,8:12,8:12,,,,,0,0,0,2,0,3,3,0,,,,,,,,,,,,,,,,,,,,,2,1.202178740085401,302.6732775467019,None,302.6732775467019,None,302.6732775467019,None,Incongruent_perpendicular,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/kangaroo.jpg,Animal,ArrowRight.png,,neutral,,,8:12,8:12,,,,,0,0,0,2,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,3,2.3396125550417537,308.69172285210914,None,308.69172285210914,None,308.69172285210914,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/hippopotamus.jpg,Animal,ArrowLeft.png,,ArrowLeft.png,,,8:12,8:12,,,,,0,0,0,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Congruent,1,0.8539410158421106,314.6572940199453,None,314.6572940199453,None,314.6572940199453,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/horse.jpg,Animal,ArrowRight.png,,ArrowLeft.png,,,8:12,8:12,,,,,0,0,0,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,Incongruent_opposite,3,1.2284903006800505,320.65370032162946,None,320.65370032162946,None,320.65370032162946,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/giraffe.jpg,Animal,ArrowUp.png,,ArrowLeft.png,,,8:12,8:12,,,,,0,0,0,2,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Incongruent_perpendicular,1,1.8194233309170613,326.65361058913777,None,326.65361058913777,None,326.65361058913777,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,,,,,,,,8:12,8:12,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/cat.jpg,Animal,ArrowUp.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,2,1.5459383438079612,332.6550243157458,None,332.6550243157458,None,332.6550243157458,None,Incongruent_perpendicular,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/bat.jpg,Animal,ArrowUp.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,2,1.6617023485280242,338.6731171425421,None,338.6731171425421,None,338.6731171425421,None,Incongruent_perpendicular,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/cheetah.jpg,Animal,ArrowRight.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,3,1.2018394574291733,344.6719482742037,None,344.6719482742037,None,344.6719482742037,None,Incongruent_opposite,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/armadillo.jpg,Animal,ArrowRight.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,3,1.5440099749688443,350.67260425977145,None,350.67260425977145,None,350.67260425977145,None,Incongruent_opposite,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/cat.jpg,Animal,ArrowUp.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,Incongruent_perpendicular,2,1.3307923789550387,356.65575771758074,None,356.65575771758074,None,356.65575771758074,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/armadillo.jpg,Animal,ArrowRight.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Incongruent_opposite,3,1.1456188257594704,362.65583249465715,None,362.65583249465715,None,362.65583249465715,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/bat.jpg,Animal,ArrowUp.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Incongruent_perpendicular,2,2.143504247338001,368.66870764098564,None,368.66870764098564,None,368.66870764098564,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/cheetah.jpg,Animal,ArrowRight.png,,ArrowLeft.png,,,0:4,0:4,,,,,0,1,1,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Incongruent_opposite,3,0.8562681957552059,374.6519719448139,None,374.6519719448139,None,374.6519719448139,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,,,,,,,,0:4,0:4,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/platypus.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,2,2,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,1,1.7650445612727026,380.68606266729535,None,380.68606266729535,None,380.68606266729535,None,Neutral,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/lioness.jpg,Animal,ArrowRight.png,,neutral,,,12:16,None,,,,,0,2,2,3,0,1,1,0,,,,,,,,,,,,,,,,,,,,,3,1.82723650904245,386.65376894059364,None,386.65376894059364,None,386.65376894059364,None,Neutral,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/rhino.jpg,Animal,ArrowRight.png,,neutral,,,12:16,None,,,,,0,2,2,3,0,2,2,3,,,,,,,,,,,,,,,,,,,,,3,1.4754215081158009,392.6714934536335,None,392.6714934536335,None,392.6714934536335,None,Neutral,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
