corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,trials_scrambled1.thisRepN,trials_scrambled1.thisTrialN,trials_scrambled1.thisN,trials_scrambled1.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,Scrambled_img.started,Scrambled_img.stopped,Arrow1.started,Arrow1.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.382004699902609,None,2,8.749796299962327,7.382004699902609,None,,,,,,,,001,2022_Jan_11_1431,Gallery_fMRI_OneShotLearning,2021.2.3,59.94470702783223,
3,Images/tractor.jpg,Vehicles,ArrowRight.png,None,ArrowRight.png,Images/tractor_scrambled.jpg,0,0,0,31,,,,,,,16.195909699890763,None,16.195909699890763,None,19.163960099918768,None,,001,2022_Jan_11_1431,Gallery_fMRI_OneShotLearning,2021.2.3,59.94470702783223,
1,Images/dromedary.jpg,Animal,ArrowLeft.png,None,ArrowLeft.png,Images/dromedary_scrambled.jpg,0,1,1,6,,,,,,,20.18114780005999,None,20.18114780005999,None,23.165807199897245,None,,001,2022_Jan_11_1431,Gallery_fMRI_OneShotLearning,2021.2.3,59.94470702783223,
