ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,old,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_2.started,polygon_2.stopped,Scrambled_img.started,Scrambled_img.stopped,Arrow1.started,Arrow1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,s,1.6741097000194713,12.122460599988699,None,,,,,,,,001,2022_Mar_25_1106,Gallery_fMRI_OneShotLearning,2021.2.3,145.88147406128925,
,,,,,,,,,,,,,,,,12.122460599988699,None,13.893846400082111,None,13.893846400082111,None,,,,,,,
