Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Congruency,Direction,Randomization_loop.thisRepN,Randomization_loop.thisTrialN,Randomization_loop.thisN,Randomization_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,direction_options.started,direction_options.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,7.6900449999993725,None,1,1.108209899997746,7.6900449999993725,None,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,2,bed.jpg,Furniture,ArrowUp.png,None,None,None,,,,,0,0,0,8,0,0,0,3,,,,,,,,,,,2,1.8145647999990615,8.948209399997722,None,8.948209399997722,None,8.948209399997722,None,11.91713289999825,None,,,,,,,,,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,None,,,,,0,0,0,8,0,1,1,1,,,,,,,,,,,1,0.9980267000028107,12.918740900000557,None,12.918740900000557,None,12.918740900000557,None,15.91899569999805,None,,,,,,,,,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,2,train,Vehicles,ArrowUp.png,None,None,None,,,,,0,0,0,8,0,2,2,0,,,,,,,,,,,2,0.7033526999985042,16.952209200000652,None,16.952209200000652,None,16.952209200000652,None,19.904312200000277,None,,,,,,,,,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,None,,,,,0,0,0,8,0,3,3,2,,,,,,,,,,,3,0.9065902000002097,20.905721399998583,None,20.905721399998583,None,20.905721399998583,None,23.906061699999555,None,,,,,,,,,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,2,train,Vehicles,ArrowUp.png,None,None,None,,,,,0,0,0,8,,,,,0,0,0,0,,,,,,,,,,,,,,,27.908074499999202,None,1,1.982951800000592,24.94050739999875,None,24.94050739999875,None,24.94050739999875,None,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,None,,,,,0,0,0,8,,,,,0,1,1,1,,,,,,,,,,,,,,,31.909856199999922,None,3,0.3551705000027141,28.910948400000052,None,28.910948400000052,None,28.910948400000052,None,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,2,bed.jpg,Furniture,ArrowUp.png,None,None,None,,,,,0,0,0,8,,,,,0,2,2,3,,,,,,,,,,,,,,,35.911752799998794,None,1,0.7737582000008842,32.92736839999998,None,32.92736839999998,None,32.92736839999998,None,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,None,,,,,0,0,0,8,,,,,0,3,3,2,,,,,,,,,,,,,,,39.91353170000002,None,2,1.3684407000000647,36.91439719999835,None,36.91439719999835,None,36.91439719999835,None,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
32:36,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
36:40,None,2,chair.jpg,Furniture,ArrowUp.png,None,None,None,,,,,0,1,1,9,0,0,0,2,,,,,,,,,,,2,1.905489700002363,40.9294473000009,None,40.9294473000009,None,40.9294473000009,None,43.915516999997635,None,,,,,,,,,,001,2021_Dec_01_2312,Gallery_fMRI,2021.2.3,59.87005802632783,
