corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,old,Condition_rows,Condition_rows_practice,ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,ScrambledTrials_2.thisRepN,ScrambledTrials_2.thisTrialN,ScrambledTrials_2.thisN,ScrambledTrials_2.thisIndex,Scrambled_img.started,Scrambled_img.stopped,Arrow1.started,Arrow1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,Congruency,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,direction_options.started,direction_options.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Images/hippopotamus.jpg,Animal,ArrowUp.png,,ArrowLeft.png,,,8:12,8:12,,,,,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,Incongruent_perpendicular,2,0.5856796000007307,60.75886130000072,None,60.75886130000072,None,60.75886130000072,None,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/kangaroo.jpg,Animal,ArrowRight.png,,neutral,,,8:12,8:12,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,Neutral,2,0.6346142000002146,66.75965879999967,None,66.75965879999967,None,66.75965879999967,None,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,,,,,,,,8:12,8:12,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/lioness.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,1,0.8231176000008418,72.76282689999971,None,72.76282689999971,None,72.76282689999971,None,Neutral,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/platypus.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,1,1,1,0,1,1,2,,,,,,,,,,,,,1,0.5895550999994157,78.76408059999994,None,78.76408059999994,None,78.76408059999994,None,Neutral,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/lynx.jpg,Animal,ArrowUp.png,,neutral,,,12:16,None,,,,,0,1,1,1,0,2,2,1,,,,,,,,,,,,,2,0.44980740000028163,84.75812779999978,None,84.75812779999978,None,84.75812779999978,None,Neutral,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/rhino.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,1,0.65341509999962,90.75830479999968,None,90.75830479999968,None,90.75830479999968,None,Neutral,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/platypus.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,1,1,1,,,,,0,0,0,2,,,,,,,,,,,,,,,,,Neutral,3,0.9070790000005218,96.76180810000005,None,96.76180810000005,None,96.76180810000005,None,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/rhino.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,1,1,1,,,,,0,1,1,3,,,,,,,,,,,,,,,,,Neutral,2,0.809057300000859,102.75652869999976,None,102.75652869999976,None,102.75652869999976,None,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/lynx.jpg,Animal,ArrowUp.png,,neutral,,,12:16,None,,,,,0,1,1,1,,,,,0,2,2,1,,,,,,,,,,,,,,,,,Neutral,3,0.6336922000009508,108.75932490000014,None,108.75932490000014,None,108.75932490000014,None,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,Images/lioness.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,1,1,1,,,,,0,3,3,0,,,,,,,,,,,,,,,,,Neutral,3,0.7169076999998651,114.75648469999942,None,114.75648469999942,None,114.75648469999942,None,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
,,,,,,,,12:16,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
3,Images/elephant.jpg,Animal,ArrowRight.png,None,ArrowLeft.png,Images/elephant_scrambled.jpg,None,,,,,,,,,,,,,,,,,,,0,0,0,1,120.77211659999921,None,120.77211659999921,120.77211659999921,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
1,Images/dromedary.jpg,Animal,ArrowLeft.png,None,ArrowLeft.png,Images/dromedary_scrambled.jpg,None,,,,,,,,,,,,,,,,,,,0,1,1,0,124.76408190000075,None,124.76408190000075,124.76408190000075,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
2,Images/giraffe.jpg,Animal,ArrowUp.png,None,ArrowLeft.png,Images/giraffe_scrambled.jpg,None,,,,,,,,,,,,,,,,,,,0,2,2,2,128.76296490000095,None,128.76296490000095,128.76296490000095,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
1,Images/hippopotamus.jpg,Animal,ArrowLeft.png,None,ArrowLeft.png,Images/hippopotamus_scrambled.jpg,None,,,,,,,,,,,,,,,,,,,0,3,3,3,132.76372479999918,None,132.76372479999918,132.76372479999918,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1656,Gallery_fMRI_OneShotLearning,2021.2.3,143.99179822800036,
