Condition_rows,Condition_rows_practice,StimFile,ImgType,ArrowImg,Direction,ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_2.started,polygon_2.stopped,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,Congruency,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,s,3.3728902000002563,9.869358400000237,None,,,,,,,,,,,,001,2022_Mar_29_1529,Gallery_fMRI_OneShotLearning,2021.2.3,141.71230983947885,
36:40,None,Images/chair.jpg,Furniture,ArrowLeft.png,ArrowUp.png,,,,,0,0,0,9,0,0,0,2,,,,,9.869358400000237,None,None,13.308933100000104,None,13.308933100000104,None,13.308933100000104,None,Incongruent_perpendicular,,001,2022_Mar_29_1529,Gallery_fMRI_OneShotLearning,2021.2.3,141.71230983947885,
36:40,None,Images/Chest_of_drawers.jpg,Furniture,ArrowUp.png,ArrowUp.png,,,,,0,0,0,9,0,1,1,3,,,,,,,None,19.26895979999972,None,19.26895979999972,None,19.26895979999972,None,Congruent,,001,2022_Mar_29_1529,Gallery_fMRI_OneShotLearning,2021.2.3,141.71230983947885,
36:40,None,Images/bookcase.jpg,Furniture,ArrowUp.png,ArrowUp.png,,,,,0,0,0,9,0,2,2,1,,,,,,,None,25.270026600000165,None,25.270026600000165,None,25.270026600000165,None,Congruent,,001,2022_Mar_29_1529,Gallery_fMRI_OneShotLearning,2021.2.3,141.71230983947885,
