Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Congruency,Direction,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,7.375291899996228,None,2,0.446363899995049,7.375291899996228,None,,,,,,,,,,,,001,2021_Dec_02_0340,Gallery_fMRI,2021.2.3,60.04289464465044,
28:32,None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,None,0,0,0,7,0,0,0,1,,,,,,,1,2.3495687000031467,7.8965976999970735,None,7.8965976999970735,None,7.8965976999970735,None,10.865149299999757,None,,001,2021_Dec_02_0340,Gallery_fMRI,2021.2.3,60.04289464465044,
