Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,12.865344499994535,None,1,5.688340099994093,12.865344499994535,None,,,,,,,,,,,,001,2021_Nov_23_1308,Gallery_fMRI,2021.2.3,144.31201408273884,
0:4,None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,0,0,0,0,0,0,0,3,,,,,,,1,2.6250097999873105,18.614490799984196,None,18.614490799984196,None,18.614490799984196,None,21.572138699993957,None,,001,2021_Nov_23_1308,Gallery_fMRI,2021.2.3,144.31201408273884,
0:4,None,3,bat.jpg,Animal,ArrowRight.png,None,None,0,0,0,0,0,1,1,1,,,,,,,1,1.980670699995244,22.57247269997606,None,22.57247269997606,None,22.57247269997606,None,25.571449199982453,None,,001,2021_Nov_23_1308,Gallery_fMRI,2021.2.3,144.31201408273884,
