NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,14.522468900075182,None,1,0.8861283999867737,14.522468900075182,None,,,,,,,,,,,,001,2021_Nov_10_1218,Gallery_fMRI,2021.2.3,None,
None,3,horse.jpg,Animal,ArrowRight.png,None,None,0,0,0,10,,,,,,,3,1.917700899997726,15.525490999920294,None,15.525490999920294,None,15.525490999920294,None,17.52617139997892,None,,001,2021_Nov_10_1218,Gallery_fMRI,2021.2.3,None,
None,1,bedside_table.jpg,Furniture,ArrowLeft.png,None,None,0,1,1,36,,,,,,,1,0.8442454000469297,18.58672960009426,None,18.58672960009426,None,18.58672960009426,None,19.4608344999142,None,,001,2021_Nov_10_1218,Gallery_fMRI,2021.2.3,None,
None,2,giraffe.jpg,Animal,ArrowUp.png,None,None,0,2,2,8,,,,,,,2,0.7203785001765937,20.524245500098914,None,20.524245500098914,None,20.524245500098914,None,21.26170919998549,None,,001,2021_Nov_10_1218,Gallery_fMRI,2021.2.3,None,
