Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,NotSeen,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Encoding_Profession.thisRepN,Encoding_Profession.thisTrialN,Encoding_Profession.thisN,Encoding_Profession.thisIndex,Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Recall_Proffession.thisRepN,Recall_Proffession.thisTrialN,Recall_Proffession.thisN,Recall_Proffession.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,image_3.started,image_3.stopped,text_8.started,text_8.stopped,text_10.started,text_10.stopped,polygon_8.started,polygon_8.stopped,text_6.started,text_6.stopped,polygon_5.started,polygon_5.stopped,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,text_7.started,text_7.stopped,polygon_6.started,polygon_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
encoding_name,2,Images_Faces/O38.jpg,Leif,0,J.,L.,E.,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,4.0,None,191.14745630000107,None,191.14745630000107,None,191.14745630000107,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,1,Images_Faces/SH42.png,0,Tandläkare,T.,B.,I.,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,8.0,None,206.18013950000022,None,206.18013950000022,None,206.18013950000022,None,199.14593420000165,204.14899300000252,204.13191260000167,None,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,3,Images_Faces/SH34.png,0,Marknadsförare,P.,S.,M.,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,5.5,None,218.18895619999967,None,218.18895619999967,None,218.18895619999967,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,3,Images_Faces/SH36.png,0,VVS-montör,A.,G.,V.,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,9.5,None,227.68844009999884,None,227.68844009999884,None,227.68844009999884,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,2,Images_Faces/SH41.png,0,Säkerhetsvakt,P.,S.,J.,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,3.25,None,241.2059145000021,None,241.2059145000021,None,241.2059145000021,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,1,Images_Faces/SH44.png,0,Försäkringsrådgivare,F.,T.,A.,,,,,,0,4,4,13,,,,,,,,,,,,,,,,,2.75,None,248.4723135000022,None,248.4723135000022,None,248.4723135000022,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,3,Images_Faces/SH45.png,0,Vetrinär,R.,M.,V.,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,6.25,None,255.22246579999774,None,255.22246579999774,None,255.22246579999774,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,1,Images_Faces/SH33.png,0,Elektriker,E.,L.,S.,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,5.25,None,265.4802389999968,None,265.4802389999968,None,265.4802389999968,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,3,Images_Faces/SH37.png,0,Brevbärare,Å.,C.,B.,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,8.5,None,274.75606159999734,None,274.75606159999734,None,274.75606159999734,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,2,Images_Faces/SH38.png,0,Maskinoperatör,B.,M.,A.,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,7.5,None,287.27272809999704,None,287.27272809999704,None,287.27272809999704,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
