Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,image_3.started,image_3.stopped,text_8.started,text_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,s,4.124673899998015,17.57903439999791,None,,,,,,,,,,,,,,001,2022_Nov_17_1206,FacesNamesProffessions_Encoding,2021.2.3,119.33658406718634,
,,,,,,,,,,,,,,,,36.741546000004746,41.74802150000323,41.71497069999896,None,9.75,None,43.77143810000416,None,43.77143810000416,None,43.77143810000416,None,,,,,,,
