Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,s,10.649340799995116,20.742853099996864,None,,,,,,,001,2022_Nov_17_1145,FacesNamesProffessions_Encoding,2021.2.3,119.53615192568061,
,,,,,,,,,,,,,,,,46.4309917999999,51.437533699994674,51.39605099999608,None,9.0,,,,,,,
