4.0361 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
59.9648 	EXP 	New trial (rep=0, index=2): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O27.jpg', 'Name': 'Christer', 'Proffession': 0, 'Letter1': 'A.', 'Letter2': 'C.', 'Letter3': 'H.'}
59.9946 	EXP 	polygon_4: autoDraw = False
59.9946 	EXP 	polygon_4: autoDraw = False
59.9946 	EXP 	Circle: autoDraw = False
59.9946 	EXP 	image: image = 'Images_Faces/O27.jpg'
59.9946 	EXP 	text_4: text = 'A.\t\t\t\t\t\tC.\t\t\t\t\t\tH.'
59.9946 	EXP 	image: autoDraw = True
59.9946 	EXP 	text_4: autoDraw = True
64.0302 	EXP 	image: autoDraw = False
64.0302 	EXP 	text_4: autoDraw = False
64.0302 	EXP 	Circle: image = 'Circle.png'
64.0302 	EXP 	polygon_4: autoDraw = True
65.0853 	EXP 	Circle: autoDraw = True
66.1695 	EXP 	Circle: autoDraw = False
67.0188 	EXP 	New trial (rep=0, index=3): {'Task': 'recall_names', 'corrAns': 1, 'StimFile': 'Images_Faces/O15.jpg', 'Name': 'Fredrik', 'Proffession': 0, 'Letter1': 'F.', 'Letter2': 'P.', 'Letter3': 'A.'}
67.1154 	EXP 	polygon_4: autoDraw = False
67.1154 	EXP 	polygon_4: autoDraw = False
67.1154 	EXP 	Circle: autoDraw = False
67.1154 	EXP 	image: image = 'Images_Faces/O15.jpg'
67.1154 	EXP 	text_4: text = 'F.\t\t\t\t\t\tP.\t\t\t\t\t\tA.'
67.1154 	EXP 	image: autoDraw = True
67.1154 	EXP 	text_4: autoDraw = True
71.0499 	EXP 	image: autoDraw = False
71.0499 	EXP 	text_4: autoDraw = False
71.0499 	EXP 	Circle: image = 'Circle.png'
71.0499 	EXP 	polygon_4: autoDraw = True
75.4038 	EXP 	Circle: autoDraw = True
76.4539 	EXP 	Circle: autoDraw = False
80.7915 	EXP 	New trial (rep=0, index=4): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O3.jpg', 'Name': 'Lars', 'Proffession': 0, 'Letter1': 'P.', 'Letter2': 'L.', 'Letter3': 'K.'}
80.8899 	EXP 	polygon_4: autoDraw = False
80.8899 	EXP 	polygon_4: autoDraw = False
80.8899 	EXP 	Circle: autoDraw = False
80.8899 	EXP 	image: image = 'Images_Faces/O3.jpg'
80.8899 	EXP 	text_4: text = 'P.\t\t\t\t\t\tL.\t\t\t\t\t\tK.'
80.8899 	EXP 	image: autoDraw = True
80.8899 	EXP 	text_4: autoDraw = True
84.8439 	EXP 	image: autoDraw = False
84.8439 	EXP 	text_4: autoDraw = False
84.8439 	EXP 	Circle: image = 'Circle.png'
84.8439 	EXP 	polygon_4: autoDraw = True
86.0754 	EXP 	Circle: autoDraw = True
87.0756 	EXP 	Circle: autoDraw = False
88.3416 	EXP 	New trial (rep=0, index=5): {'Task': 'recall_names', 'corrAns': 3, 'StimFile': 'Images_Faces/O17.jpg', 'Name': 'Thomas', 'Proffession': 0, 'Letter1': 'G.', 'Letter2': 'N.', 'Letter3': 'T.'}
88.3755 	EXP 	polygon_4: autoDraw = False
88.3755 	EXP 	polygon_4: autoDraw = False
88.3755 	EXP 	Circle: autoDraw = False
88.3755 	EXP 	image: image = 'Images_Faces/O17.jpg'
88.3755 	EXP 	text_4: text = 'G.\t\t\t\t\t\tN.\t\t\t\t\t\tT.'
88.3755 	EXP 	image: autoDraw = True
88.3755 	EXP 	text_4: autoDraw = True
92.4115 	EXP 	image: autoDraw = False
92.4115 	EXP 	text_4: autoDraw = False
92.4115 	EXP 	Circle: image = 'Circle.png'
92.4115 	EXP 	polygon_4: autoDraw = True
95.2140 	EXP 	Circle: autoDraw = True
96.2134 	EXP 	Circle: autoDraw = False
98.9310 	EXP 	New trial (rep=0, index=6): {'Task': 'recall_names', 'corrAns': 1, 'StimFile': 'Images_Faces/O9.jpg', 'Name': 'Nils', 'Proffession': 0, 'Letter1': 'N.', 'Letter2': 'V.', 'Letter3': 'G.'}
98.9631 	EXP 	polygon_4: autoDraw = False
98.9631 	EXP 	polygon_4: autoDraw = False
98.9631 	EXP 	Circle: autoDraw = False
98.9631 	EXP 	image: image = 'Images_Faces/O9.jpg'
98.9631 	EXP 	text_4: text = 'N.\t\t\t\t\t\tV.\t\t\t\t\t\tG.'
98.9631 	EXP 	image: autoDraw = True
98.9631 	EXP 	text_4: autoDraw = True
102.9649 	EXP 	image: autoDraw = False
102.9649 	EXP 	text_4: autoDraw = False
102.9649 	EXP 	Circle: image = 'Circle.png'
102.9649 	EXP 	polygon_4: autoDraw = True
104.4502 	EXP 	Circle: autoDraw = True
105.5005 	EXP 	Circle: autoDraw = False
106.9544 	EXP 	New trial (rep=0, index=7): {'Task': 'recall_names', 'corrAns': 1, 'StimFile': 'Images_Faces/O11.jpg', 'Name': 'Gustav', 'Proffession': 0, 'Letter1': 'G.', 'Letter2': 'M.', 'Letter3': 'S.'}
107.0333 	EXP 	polygon_4: autoDraw = False
107.0333 	EXP 	polygon_4: autoDraw = False
107.0333 	EXP 	Circle: autoDraw = False
107.0333 	EXP 	image: image = 'Images_Faces/O11.jpg'
107.0333 	EXP 	text_4: text = 'G.\t\t\t\t\t\tM.\t\t\t\t\t\tS.'
107.0333 	EXP 	image: autoDraw = True
107.0333 	EXP 	text_4: autoDraw = True
109.1112 	DATA 	Keypress: 3
109.3829 	DATA 	Keypress: 3
111.0353 	EXP 	image: autoDraw = False
111.0353 	EXP 	text_4: autoDraw = False
111.0353 	EXP 	Circle: image = 'Circle.png'
111.0353 	EXP 	polygon_4: autoDraw = True
113.4676 	EXP 	Circle: autoDraw = True
114.2491 	DATA 	Keypress: 2
114.3864 	DATA 	Keypress: 2
114.5398 	EXP 	Circle: autoDraw = False
116.7758 	EXP 	New trial (rep=0, index=8): {'Task': 'recall_names', 'corrAns': 3, 'StimFile': 'Images_Faces/O26.jpg', 'Name': 'Åke', 'Proffession': 0, 'Letter1': 'T.', 'Letter2': 'N.', 'Letter3': 'Å.'}
116.8048 	EXP 	polygon_4: autoDraw = False
116.8048 	EXP 	polygon_4: autoDraw = False
116.8048 	EXP 	Circle: autoDraw = False
116.8048 	EXP 	image: image = 'Images_Faces/O26.jpg'
116.8048 	EXP 	text_4: text = 'T.\t\t\t\t\t\tN.\t\t\t\t\t\tÅ.'
116.8048 	EXP 	image: autoDraw = True
116.8048 	EXP 	text_4: autoDraw = True
120.8728 	EXP 	image: autoDraw = False
120.8728 	EXP 	text_4: autoDraw = False
120.8728 	EXP 	Circle: image = 'Circle.png'
120.8728 	EXP 	polygon_4: autoDraw = True
123.6759 	EXP 	Circle: autoDraw = True
124.7401 	EXP 	Circle: autoDraw = False
127.6752 	EXP 	New trial (rep=0, index=9): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O1.jpg', 'Name': 'Karl', 'Proffession': 0, 'Letter1': 'F.', 'Letter2': 'K.', 'Letter3': 'L.'}
127.7110 	EXP 	polygon_4: autoDraw = False
127.7110 	EXP 	polygon_4: autoDraw = False
127.7110 	EXP 	Circle: autoDraw = False
127.7110 	EXP 	image: image = 'Images_Faces/O1.jpg'
127.7110 	EXP 	text_4: text = 'F.\t\t\t\t\t\tK.\t\t\t\t\t\tL.'
127.7110 	EXP 	image: autoDraw = True
127.7110 	EXP 	text_4: autoDraw = True
131.7807 	EXP 	image: autoDraw = False
131.7807 	EXP 	text_4: autoDraw = False
131.7807 	EXP 	Circle: image = 'Circle.png'
131.7807 	EXP 	polygon_4: autoDraw = True
135.7659 	EXP 	Circle: autoDraw = True
136.7986 	EXP 	Circle: autoDraw = False
140.7691 	EXP 	New trial (rep=0, index=10): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O20.jpg', 'Name': 'Alexander', 'Proffession': 0, 'Letter1': 'J.', 'Letter2': 'A.', 'Letter3': 'N.'}
140.8688 	EXP 	polygon_4: autoDraw = False
140.8688 	EXP 	polygon_4: autoDraw = False
140.8688 	EXP 	Circle: autoDraw = False
140.8688 	EXP 	image: image = 'Images_Faces/O20.jpg'
140.8688 	EXP 	text_4: text = 'J.\t\t\t\t\t\tA.\t\t\t\t\t\tN.'
140.8688 	EXP 	image: autoDraw = True
140.8688 	EXP 	text_4: autoDraw = True
144.8009 	EXP 	image: autoDraw = False
144.8009 	EXP 	text_4: autoDraw = False
144.8009 	EXP 	Circle: image = 'Circle.png'
144.8009 	EXP 	polygon_4: autoDraw = True
148.6545 	EXP 	Circle: autoDraw = True
149.7170 	EXP 	Circle: autoDraw = False
153.5796 	EXP 	New trial (rep=0, index=11): {'Task': 'recall_names', 'corrAns': 1, 'StimFile': 'Images_Faces/O25.jpg', 'Name': 'Andreas', 'Proffession': 0, 'Letter1': 'A.', 'Letter2': 'T.', 'Letter3': 'P.'}
153.6068 	EXP 	polygon_4: autoDraw = False
153.6068 	EXP 	polygon_4: autoDraw = False
153.6068 	EXP 	Circle: autoDraw = False
153.6068 	EXP 	image: image = 'Images_Faces/O25.jpg'
153.6068 	EXP 	text_4: text = 'A.\t\t\t\t\t\tT.\t\t\t\t\t\tP.'
153.6068 	EXP 	image: autoDraw = True
153.6068 	EXP 	text_4: autoDraw = True
157.6909 	EXP 	image: autoDraw = False
157.6909 	EXP 	text_4: autoDraw = False
157.6909 	EXP 	Circle: image = 'Circle.png'
157.6909 	EXP 	polygon_4: autoDraw = True
161.6098 	EXP 	Circle: autoDraw = True
162.6273 	EXP 	Circle: autoDraw = False
166.4414 	EXP 	New trial (rep=0, index=12): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O8.jpg', 'Name': 'Olof', 'Proffession': 0, 'Letter1': 'P.', 'Letter2': 'O.', 'Letter3': 'V.'}
166.4778 	EXP 	polygon_4: autoDraw = False
166.4778 	EXP 	polygon_4: autoDraw = False
166.4778 	EXP 	Circle: autoDraw = False
166.4778 	EXP 	image: image = 'Images_Faces/O8.jpg'
166.4778 	EXP 	text_4: text = 'P.\t\t\t\t\t\tO.\t\t\t\t\t\tV.'
166.4778 	EXP 	image: autoDraw = True
166.4778 	EXP 	text_4: autoDraw = True
170.5463 	EXP 	image: autoDraw = False
170.5463 	EXP 	text_4: autoDraw = False
170.5463 	EXP 	Circle: image = 'Circle.png'
170.5463 	EXP 	polygon_4: autoDraw = True
172.7102 	EXP 	Circle: autoDraw = True
173.7786 	EXP 	Circle: autoDraw = False
175.8375 	EXP 	New trial (rep=0, index=13): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O18.jpg', 'Name': 'Sven', 'Proffession': 0, 'Letter1': 'U.', 'Letter2': 'S.', 'Letter3': 'K.'}
175.8654 	EXP 	polygon_4: autoDraw = False
175.8654 	EXP 	polygon_4: autoDraw = False
175.8654 	EXP 	Circle: autoDraw = False
175.8654 	EXP 	image: image = 'Images_Faces/O18.jpg'
175.8654 	EXP 	text_4: text = 'U.\t\t\t\t\t\tS.\t\t\t\t\t\tK.'
175.8654 	EXP 	image: autoDraw = True
175.8654 	EXP 	text_4: autoDraw = True
179.9348 	EXP 	image: autoDraw = False
179.9348 	EXP 	text_4: autoDraw = False
179.9348 	EXP 	Circle: image = 'Circle.png'
179.9348 	EXP 	polygon_4: autoDraw = True
180.7855 	EXP 	Circle: autoDraw = True
181.8205 	EXP 	Circle: autoDraw = False
182.6731 	EXP 	New trial (rep=0, index=14): {'Task': 'recall_names', 'corrAns': 1, 'StimFile': 'Images_Faces/O6.jpg', 'Name': 'Mikael', 'Proffession': 0, 'Letter1': 'M.', 'Letter2': 'C.', 'Letter3': 'G.'}
182.7645 	EXP 	polygon_4: autoDraw = False
182.7645 	EXP 	polygon_4: autoDraw = False
182.7645 	EXP 	Circle: autoDraw = False
182.7645 	EXP 	image: image = 'Images_Faces/O6.jpg'
182.7645 	EXP 	text_4: text = 'M.\t\t\t\t\t\tC.\t\t\t\t\t\tG.'
182.7645 	EXP 	image: autoDraw = True
182.7645 	EXP 	text_4: autoDraw = True
186.7378 	EXP 	image: autoDraw = False
186.7378 	EXP 	text_4: autoDraw = False
186.7378 	EXP 	Circle: image = 'Circle.png'
186.7378 	EXP 	polygon_4: autoDraw = True
189.6067 	EXP 	Circle: autoDraw = True
190.6707 	EXP 	Circle: autoDraw = False
193.5110 	EXP 	New trial (rep=0, index=15): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O28.jpg', 'Name': 'Stefan', 'Proffession': 0, 'Letter1': 'V.', 'Letter2': 'S.', 'Letter3': 'R.'}
193.5407 	EXP 	polygon_4: autoDraw = False
193.5407 	EXP 	polygon_4: autoDraw = False
193.5407 	EXP 	Circle: autoDraw = False
193.5407 	EXP 	image: image = 'Images_Faces/O28.jpg'
193.5407 	EXP 	text_4: text = 'V.\t\t\t\t\t\tS.\t\t\t\t\t\tR.'
193.5407 	EXP 	image: autoDraw = True
193.5407 	EXP 	text_4: autoDraw = True
197.5425 	EXP 	image: autoDraw = False
197.5425 	EXP 	text_4: autoDraw = False
197.5425 	EXP 	Circle: image = 'Circle.png'
197.5425 	EXP 	polygon_4: autoDraw = True
199.9779 	EXP 	Circle: autoDraw = True
200.9789 	EXP 	Circle: autoDraw = False
203.2812 	EXP 	New trial (rep=0, index=16): {'Task': 'recall_names', 'corrAns': 3, 'StimFile': 'Images_Faces/O2.jpg', 'Name': 'Erik', 'Proffession': 0, 'Letter1': 'R.', 'Letter2': 'O.', 'Letter3': 'E.'}
203.3683 	EXP 	polygon_4: autoDraw = False
203.3683 	EXP 	polygon_4: autoDraw = False
203.3683 	EXP 	Circle: autoDraw = False
203.3683 	EXP 	image: image = 'Images_Faces/O2.jpg'
203.3683 	EXP 	text_4: text = 'R.\t\t\t\t\t\tO.\t\t\t\t\t\tE.'
203.3683 	EXP 	image: autoDraw = True
203.3683 	EXP 	text_4: autoDraw = True
207.3303 	EXP 	image: autoDraw = False
207.3303 	EXP 	text_4: autoDraw = False
207.3303 	EXP 	Circle: image = 'Circle.png'
207.3303 	EXP 	polygon_4: autoDraw = True
210.1375 	EXP 	Circle: autoDraw = True
