Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,NotSeen,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Encoding_Profession.thisRepN,Encoding_Profession.thisTrialN,Encoding_Profession.thisN,Encoding_Profession.thisIndex,Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Recall_Proffession.thisRepN,Recall_Proffession.thisTrialN,Recall_Proffession.thisN,Recall_Proffession.thisIndex,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,image_3.started,image_3.stopped,text_8.started,text_8.stopped,text_10.started,text_10.stopped,polygon_8.started,polygon_8.stopped,text_6.started,text_6.stopped,polygon_5.started,polygon_5.stopped,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,text_7.started,text_7.stopped,polygon_6.started,polygon_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
encoding_name,2,Images_Faces/O46.jpg,Emil,0,U.,E.,R.,,0,0,0,0,,,,,,,,,,,,,13.62118499999633,18.6233945999993,18.60684449999826,None,8.25,None,20.87576030002674,None,20.87576030002674,None,20.87576030002674,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
encoding_name,2,Images_Faces/O47.jpg,Niklas,0,R.,N.,E.,,0,1,1,1,,,,,,,,,,,,,,,,,7.75,None,32.89443830004893,None,32.89443830004893,None,32.89443830004893,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
encoding_name,2,Images_Faces/O48.jpg,Bertil,0,S.,B.,A.,,0,2,2,2,,,,,,,,,,,,,,,,,2.5,None,44.64956730004633,None,44.64956730004633,None,44.64956730004633,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
encoding_proffession,1,Images_Faces/SH47.png,0,Plåtslagare,P.,K.,B.,,,,,,0,0,0,1,,,,,,,,,,,,,9.0,None,58.15495789999841,None,58.15495789999841,None,58.15495789999841,None,51.13865760003682,56.140883600048255,56.12427640001988,None,,,,,,,,,,,,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
encoding_proffession,3,Images_Faces/SH46.png,0,Inköpare,R.,H.,I.,,,,,,0,1,1,0,,,,,,,,,,,,,8.25,None,71.16116980003426,None,71.16116980003426,None,71.16116980003426,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
encoding_proffession,1,Images_Faces/SH48.png,0,Jurist,J.,F.,S.,,,,,,0,2,2,2,,,,,,,,,,,,,4.25,None,83.4166758999927,None,83.4166758999927,None,83.4166758999927,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
recall_names,3,Images_Faces/O17.jpg,Thomas,0,G.,N.,T.,NY,,,,,,,,,0,0,0,1,,,,,,,,,5.25,,,,,,,,,,,,91.67390440002782,96.67644700000528,96.65996680001263,None,None,98.72396510001272,None,98.72396510001272,None,98.72396510001272,None,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
recall_names,2,Images_Faces/O18.jpg,Sven,0,U.,S.,K.,NY,,,,,,,,,0,1,1,2,,,,,,,,,4.75,,,,,,,,,,,,,,,,None,107.94508850004058,None,107.94508850004058,None,107.94508850004058,None,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
recall_names,1,Images_Faces/O16.jpg,Gunnar,0,G.,D.,A.,NY,,,,,,,,,0,2,2,0,,,,,,,,,3.25,,,,,,,,,,,,,,,,None,116.6989463000209,None,116.6989463000209,None,116.6989463000209,None,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
recall_proffessions,3,Images_Faces/SH16.png,0,Sjuksköterska,G.,M.,S.,NY,,,,,,,,,,,,,0,0,0,0,,,,,5.25,,,,,,,,,,,,,,,,None,130.97271380003076,None,130.97271380003076,None,130.97271380003076,None,123.93894830002682,128.94121390004875,128.92456960002892,None,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
recall_proffessions,1,Images_Faces/SH18.png,0,VD,V.,D.,O.,NY,,,,,,,,,,,,,0,1,1,2,,,,,6.25,,,,,,,,,,,,,,,,None,140.20949969999492,None,140.20949969999492,None,140.20949969999492,None,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
recall_proffessions,3,Images_Faces/SH17.png,0,Servitör,I.,D.,S.,NY,,,,,,,,,,,,,0,2,2,1,,,,,6.25,,,,,,,,,,,,,,,,None,150.46517290000338,None,150.46517290000338,None,150.46517290000338,None,,,,,,001,2022_Nov_21_1001,FacesNamesProffessions_Encoding,2021.2.3,59.81988232774077,
