Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Jitter,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,s,1.2413205999764614,13.336670899996534,None,,,,,,,,,,001,2022_Oct_24_1107,FacesNamesProffessions_Encoding,2021.2.3,59.98551949706344,
,,,,,,,,,,,,,,,,6.5,None,29.681450799980666,None,29.681450799980666,None,29.681450799980666,None,,,,,,,
