corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,,,,,old
2,Images/zebra.jpg,Animal,ArrowUp.png,,neutral,Images/zebra_scrambled.jpg,,,,,
1,Images/boat.jpg,Vehicles,ArrowLeft.png,,neutral,Images/boat_scrambled.jpg,,,,,
3,Images/bus.jpg,Vehicles,ArrowRight.png,,neutral,Images/bus_scrambled.jpg,,,,,
2,Images/car.jpg,Vehicles,ArrowUp.png,,neutral,Images/car_scrambled.jpg,,,,,
1,Images/cart.jpg,Vehicles,ArrowLeft.png,,ArrowRight.png,Images/cart_scrambled.jpg,,,,,
3,Images/motorbike.jpg,Vehicles,ArrowRight.png,,ArrowRight.png,Images/motorbike_scrambled.jpg,,,,,
2,Images/paragliding.jpg,Vehicles,ArrowUp.png,,ArrowRight.png,Images/paragliding_scrambled.jpg,,,,,
1,Images/plane.jpg,Vehicles,ArrowLeft.png,,ArrowRight.png,Images/plane_scrambled.jpg,,,,,
3,Images/scooter.jpg,Vehicles,ArrowRight.png,,ArrowRight.png,Images/scooter_scrambled.jpg,,,,,
2,Images/ship.jpg,Vehicles,ArrowUp.png,,ArrowRight.png,Images/ship_scrambled.jpg,,,,,
1,Images/skateboard.jpg,Vehicles,ArrowLeft.png,,ArrowRight.png,Images/skateboard_scrambled.jpg,,,,,
3,Images/tractor.jpg,Vehicles,ArrowRight.png,,ArrowRight.png,Images/tractor_scrambled.jpg,,,,,
2,Images/train.jpg,Vehicles,ArrowUp.png,,ArrowRight.png,Images/train_scrambled.jpg,,,,,
1,Images/van.jpg,Vehicles,ArrowLeft.png,,ArrowRight.png,Images/van_scrambled.jpg,,,,,
3,Images/armchair.jpg,Furniture,ArrowRight.png,,ArrowUp.png,Images/armchair_scrambled.jpg,,,,,
2,Images/bed.jpg,Furniture,ArrowUp.png,,ArrowUp.png,Images/bed_scrambled.jpg,,,,,
1,Images/bedside_table.jpg,Furniture,ArrowLeft.png,,ArrowUp.png,Images/bedside_table_scrambled.jpg,,,,,
3,Images/bookcase.jpg,Furniture,ArrowRight.png,neutral,ArrowUp.png,Images/bookcase_scrambled.jpg,,,,,
2,Images/chair.jpg,Furniture,ArrowUp.png,,ArrowUp.png,Images/chair_scrambled.jpg,,,,,
1,Images/Chest_of_drawers.jpg,Furniture,ArrowLeft.png,,ArrowUp.png,Images/Chest_of_drawers_scrambled.jpg,,,,,
3,Images/couch.jpg,Furniture,ArrowRight.png,,ArrowUp.png,Images/couch_scrambled.jpg,,,,,
2,Images/filling_cabinet.jpg,Furniture,ArrowUp.png,,ArrowUp.png,Images/filling_cabinet_scrambled.jpg,,,,,
1,Images/lamp.jpg,Furniture,ArrowLeft.png,,ArrowUp.png,Images/lamp_scrambled.jpg,,,,,
3,Images/lectern.jpg,Furniture,ArrowRight.png,,ArrowUp.png,Images/lectern_scrambled.jpg,,,,,
2,Images/rocking_chair.jpg,Furniture,ArrowUp.png,,ArrowUp.png,Images/rocking_chair_scrambled.jpg,,,,,
1,Images/sofa.jpg,Furniture,ArrowLeft.png,,ArrowUp.png,Images/sofa_scrambled.jpg,,,,,
3,Images/stool.jpg,Furniture,ArrowRight.png,,ArrowUp.png,Images/stool_scrambled.jpg,,,,,
2,Images/table.jpg,Furniture,ArrowUp.png,,ArrowUp.png,Images/table_scrambled.jpg,,,,,
