TrialRows_Name,TrialRows_Proffession,Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,Name_trials.thisRepN,Name_trials.thisTrialN,Name_trials.thisN,Name_trials.thisIndex,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,ImmediateRecall_Name.thisRepN,ImmediateRecall_Name.thisTrialN,ImmediateRecall_Name.thisN,ImmediateRecall_Name.thisIndex,Proffession_trials.thisRepN,Proffession_trials.thisTrialN,Proffession_trials.thisN,Proffession_trials.thisIndex,Encoding_Proffession.thisRepN,Encoding_Proffession.thisTrialN,Encoding_Proffession.thisN,Encoding_Proffession.thisIndex,ImmediateRecall_Proffession.thisRepN,ImmediateRecall_Proffession.thisTrialN,ImmediateRecall_Proffession.thisN,ImmediateRecall_Proffession.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_8.started,text_8.stopped,polygon_5.started,polygon_5.stopped,Jitter,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,polygon_6.started,polygon_6.stopped,key_resp_ImmediateRecall.keys,key_resp_ImmediateRecall.started,key_resp_ImmediateRecall.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,Circle.started,Circle.stopped,key_resp_Circle.keys,key_resp_Circle.started,key_resp_Circle.stopped,key_resp_ImmediateRecall.rt,key_resp_Circle.rt,key_resp_1.rt,text_9.started,text_9.stopped,polygon_4.started,polygon_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6:12,36:42,encoding_name,1,Images_Faces/O40.jpg,Axel,0,A.,M.,B.,0,0,0,1,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,164.5472825000179,None,164.5472825000179,None,164.5472825000179,None,169.64925670000957,170.6500240000314,None,169.64925670000957,170.6500240000314,0.5300449000205845,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
6:12,36:42,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,2,Images_Faces/O51.jpg,Ingemar,0,T,I.,M.,0,1,1,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,4.25,1,171.83030289999442,None,171.83030289999442,None,171.83030289999442,None,175.80035390000558,None,,,,,,,,,,,,,,,0.6716666999855079,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,3,Images_Faces/O53.jpg,Christoffer,0,S.,H.,C.,0,1,1,3,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2.5,None,180.07097310002428,None,180.07097310002428,None,180.07097310002428,None,184.06905230000848,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,3,Images_Faces/O54.jpg,Rickard,0,R.,J.,R.,0,1,1,3,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,6.5,None,186.5874579999945,None,186.5874579999945,None,186.5874579999945,None,190.5878936999943,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,2,Images_Faces/O50.jpg,Patrik,0,C.,P.,B.,0,1,1,3,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,7.5,None,197.11164640000788,None,197.11164640000788,None,197.11164640000788,None,201.10957100003725,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,1,Images_Faces/O52.jpg,Håkan,0,H.,F.,H.,0,1,1,3,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,7.75,None,208.6344468999887,None,208.6344468999887,None,208.6344468999887,None,212.63193820003653,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,2,Images_Faces/O49.jpg,Arne,0,L.,A.,M.,0,1,1,3,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,7.25,None,220.4062298000208,None,220.4062298000208,None,220.4062298000208,None,224.40443930000765,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,2,Images_Faces/O49.jpg,Arne,0,L.,A.,M.,0,1,1,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,231.6953619000269,None,231.6953619000269,None,231.6953619000269,None,238.78104760003043,239.78155100002186,None,238.78104760003043,239.78155100002186,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,1,Images_Faces/O52.jpg,Håkan,0,H.,F.,H.,0,1,1,3,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,242.94630489998963,None,242.94630489998963,None,242.94630489998963,None,250.03504869999597,251.03514420002466,None,250.03504869999597,251.03514420002466,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
